game_id,points,offense,defense,offense_mean_rank,offense_median_rank,offense_trimmed_rank,defense_mean_rank,defense_median_rank,defense_trimmed_rank,mean_rank_diff,median_rank_diff,trimmed_rank_diff,rf_pred
615,24,Utah St,New Mexico,84.57,85,84.71,113.56,114,113.77,-28.99000000000001,-29,-29.060000000000002,35.30289641629848
616,41,Arizona St,Colorado,41.44,40,41.02,77.62,78,77.67,-36.18000000000001,-38,-36.65,32.76076525590551
617,37,California,Oregon St,65.23,64,65.12,115.88,117,116.31,-50.64999999999999,-53,-51.19,38.73811408047726
618,20,Fresno St,BYU,46.19,43,46.03,104.12,106,104.47,-57.93000000000001,-63,-58.44,35.20891201821434
619,21,Georgia St,Ga Southern,105.35,106,105.64,120.79,122,121.06,-15.440000000000012,-16,-15.420000000000002,30.403320522674864
620,52,San Diego St,San Jose St,34.67,33,34.41,125.87,126,126.27,-91.2,-93,-91.86,47.50610016470445
621,31,UNLV,Hawaii,102.19,102,102.21,119.54,120,119.8,-17.35000000000001,-18,-17.590000000000003,31.90771966398921
622,49,USC,Arizona,12.62,12,12.54,50.7,50,50.5,-38.080000000000005,-38,-37.96,35.89270889731095
623,38,Washington,Oregon,11.72,11,11.48,39.78,39,39.66,-28.060000000000002,-28,-28.179999999999996,34.849591940831424
624,24,Washington St,Stanford,24.7,23,24.64,17.31,16,17.12,7.390000000000001,7,7.52,23.67461533746092
625,21,Army,Air Force,54.96,55,54.6,91.62,92,91.63,-36.660000000000004,-37,-37.029999999999994,29.916531655034895
626,48,Notre Dame,Wake Forest,11.16,10,10.99,32.82,32,32.49,-21.66,-22,-21.5,37.39092695709139
627,16,Wyoming,Colorado St,77.85,79,78.03,77.44,76,77.48,0.4099999999999966,3,0.5499999999999972,21.207305621635157
628,37,South Florida,Connecticut,35.43,34,35.21,108.29,109,108.49,-72.86000000000001,-75,-73.28,42.74896512794782
629,52,Houston,East Carolina,48.13,47,47.77,107.55,108,107.72,-59.419999999999995,-61,-59.949999999999996,42.94217508373284
630,31,Rutgers,Maryland,92.08,92,92.05,75.53,74,75.65,16.549999999999997,18,16.39999999999999,22.01691775747098
631,38,Buffalo,Bowling Green,85.25,86,85.32,114.81,116,115.04,-29.560000000000002,-30,-29.720000000000013,35.30848446186093
632,24,Miami OH,Akron,97.8,98,98.05,83.39,82,83.29,14.409999999999997,16,14.759999999999991,24.826036249014972
633,42,C Michigan,E Michigan,67.65,67,67.57,89.25,90,89.49,-21.599999999999994,-23,-21.92,31.944312902742396
634,38,Ohio,Toledo,62.63,63,62.51,32.47,31,32.14,30.160000000000004,32,30.369999999999997,25.802970205700582
635,48,W Michigan,Kent,78.47,79,78.33,121.62,122,121.88,-43.150000000000006,-43,-43.55,42.279190149473166
636,27,Appalachian St,Ga Southern,71.49,72,71.44,120.79,122,121.06,-49.30000000000001,-50,-49.620000000000005,35.16986387106869
637,34,North Carolina,Pittsburgh,86.16,91,86.25,64.3,65,64.18,21.86,26,22.069999999999993,26.68285152960988
638,63,N Illinois,Ball St,57.87,58,57.68,125.54,126,125.8,-67.67000000000002,-68,-68.12,48.10376784143949
639,35,Temple,Cincinnati,74.57,74,74.6,101.84,103,101.92,-27.27000000000001,-29,-27.320000000000007,34.89999685128625
640,30,Stanford,Washington,17.31,16,17.12,11.72,11,11.48,5.589999999999998,5,5.640000000000001,26.180410470689445
