game_id,points,offense,defense,offense_mean,defense_mean
444,44,Colorado St,Nevada,77.44,104.18
445,28,Wyoming,Utah St,77.85,84.57
446,47,Arizona,UCLA,50.7,50.2
447,13,Arizona St,Washington,41.44,11.72
448,38,Fresno St,New Mexico,46.19,113.56
449,23,Appalachian St,Idaho,71.49,112.71
450,36,Colorado,Oregon St,77.62,115.88
451,49,Stanford,Oregon,17.31,39.78
452,28,USC,Utah,12.62,49.68
453,35,New Mexico St,Ga Southern,101.82,120.79
454,37,Hawaii,San Jose St,119.54,125.87
455,31,Boise St,San Diego St,29.91,34.67
456,33,South Florida,Cincinnati,35.43,101.84
457,14,Akron,W Michigan,83.39,78.47
458,47,Arkansas St,ULL,77.83,115.28
459,42,Memphis,Houston,21.31,48.13
460,35,WKU,Old Dominion,101.64,108.61
461,38,Marshall,MTSU,73.74,92.5
462,45,Air Force,Nevada,91.62,104.18
463,27,Colorado St,New Mexico,77.44,113.56
464,37,Appalachian St,Coastal Car,71.49,119.83
465,31,Army,Temple,54.96,74.57
466,56,C Michigan,Ball St,67.65,125.54
467,48,N Illinois,Bowling Green,57.87,114.81
468,25,Charlotte,UAB,126.26,89.48
469,31,SMU,Cincinnati,58.7,101.84
470,20,Connecticut,Tulsa,108.29,104.96
471,24,Pittsburgh,Duke,64.3,53.03
472,33,East Carolina,BYU,107.55,104.12
473,20,W Michigan,E Michigan,78.47,89.25
474,69,FL Atlantic,North Texas,37.09,65.82
475,31,Louisville,Florida St,27.51,40.13
476,34,Troy,Georgia St,48.22,105.35
477,38,Georgia Tech,Wake Forest,48.67,32.82
478,55,Massachusetts,Ga Southern,105.98,120.79
479,27,Miami FL,Syracuse,12.94,73.23
480,24,Miami OH,Buffalo,97.8,85.25
481,17,Michigan St,Indiana,20.78,62.31
482,31,UCF,Navy,9.1,51.61
483,48,Ohio,Kent,62.63,121.62
484,42,Penn St,Michigan,7.69,23.2
485,14,Rutgers,Purdue,92.08,44.51
486,48,Toledo,Akron,32.47,83.39
487,41,Boston College,Virginia,30.96,63.33
488,59,Virginia Tech,North Carolina,19.41,86.16
489,45,Alabama,Tennessee,5.06,89.17
490,52,Auburn,Arkansas,8.66,83.09
491,38,West Virginia,Baylor,44.8,104.83
492,42,Oklahoma,Kansas St,4.97,45.64
493,34,Southern Miss,Louisiana Tech,78.7,88.91
494,24,Minnesota,Illinois,71.37,107.92
495,45,Mississippi St,Kentucky,26.12,57.89
496,68,Missouri,Idaho,48.54,112.71
497,17,Northwestern,Iowa,20.83,25.89
498,40,LSU,Mississippi,21.18,62.27
499,33,South Alabama,ULM,114.65,108.66
500,43,TCU,Kansas,15,120.93
501,13,Oklahoma St,Texas,19.39,44.1
502,31,Iowa St,Texas Tech,33.95,53.54
503,34,South Florida,Tulane,35.43,80.4
504,20,UT San Antonio,Rice,92.49,125.18
505,38,Wisconsin,Maryland,5.56,75.53
506,24,Boise St,Wyoming,29.91,77.85
507,30,Arizona St,Utah,41.44,49.68
508,45,Arizona,California,50.7,65.23
509,31,UCLA,Oregon,50.2,39.78
510,52,Utah St,UNLV,84.57,102.19
511,28,Washington St,Colorado,24.7,77.62
512,49,Notre Dame,USC,11.16,12.62
513,27,Fresno St,San Diego St,46.19,34.67
514,58,Toledo,Ball St,32.47,125.54
515,21,Georgia St,South Alabama,105.35,114.65
516,30,N Illinois,E Michigan,57.87,89.25
517,15,Stanford,Oregon St,17.31,115.88
518,35,Boston College,Florida St,30.96,40.13
519,56,Memphis,Tulane,21.31,80.4
520,38,SMU,Tulsa,58.7,104.96
521,21,Akron,Buffalo,83.39,85.25
522,24,Clemson,Georgia Tech,2.1,48.67
523,27,Texas St,Coastal Car,126.47,119.83
524,52,Missouri,Connecticut,48.54,108.29
525,42,Georgia,Florida,2.73,69.78
526,29,Kentucky,Tennessee,57.89,89.17
527,41,Florida Intl,Marshall,77.11,73.74
528,42,Maryland,Indiana,75.53,62.31
529,30,Massachusetts,Appalachian St,105.98,71.49
530,35,Michigan,Rutgers,23.2,92.08
531,24,Miami FL,North Carolina,12.94,86.16
532,39,Ohio St,Penn St,4.96,7.69
533,31,Pittsburgh,Virginia,64.3,63.33
534,25,Nebraska,Purdue,77.64,44.51
535,34,South Carolina,Vanderbilt,38.11,80.34
536,24,Virginia Tech,Duke,19.41,53.03
537,42,Wake Forest,Louisville,32.82,27.51
538,50,Oklahoma St,West Virginia,19.39,44.8
539,41,BYU,San Jose St,104.12,125.87
540,38,Texas,Baylor,44.1,104.83
541,24,Wisconsin,Illinois,5.56,107.92
542,17,Iowa,Minnesota,25.89,71.37
543,14,Iowa St,TCU,33.95,15
544,30,Kansas St,Kansas,45.64,120.93
545,45,North Texas,Old Dominion,65.82,108.61
546,39,Northwestern,Michigan St,20.83,20.78
547,49,Oklahoma,Texas Tech,4.97,53.54
548,38,Arkansas,Mississippi,83.09,62.27
549,42,Louisiana Tech,Rice,88.91,125.18
550,30,UAB,Southern Miss,89.48,78.7
551,35,Mississippi St,Texas A&M,26.12,45.46
552,38,Troy,Ga Southern,48.22,120.79
553,42,FL Atlantic,WKU,37.09,101.64
554,44,Colorado,California,77.62,65.23
555,45,Air Force,Colorado St,91.62,77.44
556,37,Arkansas St,New Mexico St,77.83,101.82
557,31,UT San Antonio,UTEP,92.49,129.25
558,42,Wyoming,New Mexico,77.85,113.56
559,48,USC,Arizona St,12.62,41.44
560,26,UNLV,Fresno St,102.19,46.19
561,31,Idaho,ULM,112.71,108.66
562,41,Oregon,Utah,39.78,49.68
563,44,Washington,UCLA,11.72,50.2
564,35,Notre Dame,NC State,11.16,25.34
565,58,Arizona,Washington St,50.7,24.7
566,28,San Diego St,Hawaii,34.67,119.54
567,41,Boise St,Utah St,29.91,84.57
568,28,Houston,South Florida,48.13,35.43
570,44,Bowling Green,Kent,114.81,121.62
571,45,Ohio,Miami OH,62.63,97.8
572,35,C Michigan,W Michigan,67.65,78.47
573,56,E Michigan,Ball St,89.25,125.54
574,34,Temple,Navy,74.57,51.61
575,27,Toledo,N Illinois,32.47,57.87
576,24,Troy,Idaho,48.22,112.71
577,41,Memphis,Tulsa,21.31,104.96
578,48,Utah,UCLA,49.68,50.2
579,30,FL Atlantic,Marshall,37.09,73.74
580,14,Florida Intl,UT San Antonio,77.11,92.49
581,27,Florida St,Syracuse,40.13,73.23
582,24,Georgia,South Carolina,2.73,38.11
583,45,Wisconsin,Indiana,5.56,62.31
584,37,Mississippi,Kentucky,62.27,57.89
585,28,Miami FL,Virginia Tech,12.94,19.41
586,33,Michigan,Minnesota,23.2,71.37
587,27,Michigan St,Penn St,20.78,7.69
588,38,Clemson,NC State,2.1,25.34
589,6,Old Dominion,Charlotte,108.61,126.26
590,29,Purdue,Illinois,44.51,107.92
591,24,Tennessee,Southern Miss,89.17,78.7
592,40,Virginia,Georgia Tech,63.33,48.67
593,20,West Virginia,Iowa St,44.8,33.95
594,24,Alabama,LSU,5.06,21.18
595,39,Arkansas,Coastal Car,83.09,119.83
596,55,Iowa,Ohio St,25.89,4.96
597,38,Baylor,Kansas,104.83,120.93
598,24,North Texas,Louisiana Tech,65.82,88.91
599,52,ULM,Appalachian St,108.66,71.49
600,30,MTSU,UTEP,92.5,129.25
601,34,Mississippi St,Massachusetts,26.12,105.98
602,45,Missouri,Florida,48.54,69.78
603,31,Northwestern,Nebraska,20.83,77.64
604,62,Oklahoma,Oklahoma St,4.97,19.39
605,31,UCF,SMU,9.1,58.7
606,19,ULL,South Alabama,115.28,114.65
607,24,TCU,Texas,15,44.1
608,42,Auburn,Texas A&M,8.66,45.46
609,45,New Mexico St,Texas St,101.82,126.47
610,42,Kansas St,Texas Tech,45.64,53.54
611,17,Cincinnati,Tulane,101.84,80.4
612,52,UAB,Rice,89.48,125.18
613,31,Vanderbilt,WKU,80.34,101.64
614,41,Boise St,Nevada,29.91,104.18
615,24,Utah St,New Mexico,84.57,113.56
616,41,Arizona St,Colorado,41.44,77.62
617,37,California,Oregon St,65.23,115.88
618,20,Fresno St,BYU,46.19,104.12
619,21,Georgia St,Ga Southern,105.35,120.79
620,52,San Diego St,San Jose St,34.67,125.87
621,31,UNLV,Hawaii,102.19,119.54
622,49,USC,Arizona,12.62,50.7
623,38,Washington,Oregon,11.72,39.78
624,24,Washington St,Stanford,24.7,17.31
625,21,Army,Air Force,54.96,91.62
626,48,Notre Dame,Wake Forest,11.16,32.82
627,16,Wyoming,Colorado St,77.85,77.44
628,37,South Florida,Connecticut,35.43,108.29
629,52,Houston,East Carolina,48.13,107.55
630,31,Rutgers,Maryland,92.08,75.53
631,38,Buffalo,Bowling Green,85.25,114.81
632,24,Miami OH,Akron,97.8,83.39
633,42,C Michigan,E Michigan,67.65,89.25
634,38,Ohio,Toledo,62.63,32.47
635,48,W Michigan,Kent,78.47,121.62
636,27,Appalachian St,Ga Southern,71.49,120.79
637,34,North Carolina,Pittsburgh,86.16,64.3
638,63,N Illinois,Ball St,57.87,125.54
639,35,Temple,Cincinnati,74.57,101.84
640,30,Stanford,Washington,17.31,11.72
641,31,BYU,UNLV,104.12,102.19
643,21,Army,Duke,54.96,53.03
644,17,NC State,Boston College,25.34,30.96
645,35,MTSU,Charlotte,92.5,126.26
646,31,Clemson,Florida St,2.1,40.13
647,42,Troy,Coastal Car,48.22,119.83
648,31,Tulane,East Carolina,80.4,107.55
649,37,Old Dominion,Florida Intl,108.61,77.11
650,28,Georgia Tech,Virginia Tech,48.67,19.41
651,38,Louisville,Virginia,27.51,63.33
652,30,Marshall,WKU,73.74,101.64
653,35,Michigan,Maryland,23.2,75.53
654,41,Miami FL,Notre Dame,12.94,11.16
655,43,Navy,SMU,51.61,58.7
656,48,Ohio St,Michigan St,4.96,20.78
657,35,Penn St,Rutgers,7.69,92.08
658,28,South Carolina,Florida,38.11,69.78
659,64,Wake Forest,Syracuse,32.82,73.23
660,49,UCF,Connecticut,9.1,108.29
661,40,Auburn,Georgia,8.66,2.73
662,24,Indiana,Illinois,62.31,107.92
663,49,Oklahoma St,Iowa St,19.39,33.95
664,28,West Virginia,Kansas St,44.8,45.64
665,33,LSU,Arkansas,21.18,83.09
666,48,FL Atlantic,Louisiana Tech,37.09,88.91
667,54,Minnesota,Nebraska,71.37,77.64
668,31,Alabama,Mississippi St,5.06,26.12
669,50,Missouri,Tennessee,48.54,89.17
670,45,North Texas,UTEP,65.82,129.25
671,23,Northwestern,Purdue,20.83,44.51
672,38,Oklahoma,TCU,4.97,15
673,50,Mississippi,ULL,62.27,115.28
674,43,Southern Miss,Rice,78.7,125.18
675,24,South Alabama,Arkansas St,114.65,77.83
676,42,Texas,Kansas,44.1,120.93
677,55,Texas A&M,New Mexico,45.46,113.56
678,33,Georgia St,Texas St,105.35,126.47
679,38,Texas Tech,Baylor,53.54,104.83
680,24,UAB,UT San Antonio,89.48,92.49
681,44,Kentucky,Vanderbilt,57.89,80.34
682,38,Wisconsin,Iowa,5.56,25.89
683,28,Wyoming,Air Force,77.85,91.62
684,49,Arizona,Oregon St,50.7,115.88
685,38,USC,Colorado,12.62,77.62
686,33,Washington St,Utah,24.7,49.68
687,59,Nevada,San Jose St,104.18,125.87
688,44,UCLA,Arizona St,50.2,41.44
689,31,Fresno St,Hawaii,46.19,119.54
690,59,Boise St,Colorado St,29.91,77.44
691,37,Akron,Ohio,83.39,62.63
692,66,Toledo,Bowling Green,32.47,114.81
693,42,C Michigan,Kent,67.65,121.62
694,27,E Michigan,Miami OH,89.25,97.8
695,35,N Illinois,W Michigan,57.87,78.47
696,40,Buffalo,Ball St,85.25,125.54
697,27,South Florida,Tulsa,35.43,104.96
698,38,UNLV,New Mexico,102.19,113.56
699,41,WKU,MTSU,101.64,92.5
705,39,Boston College,Connecticut,30.96,108.29
706,43,Duke,Georgia Tech,53.03,48.67
707,48,East Carolina,Cincinnati,107.55,101.84
708,36,Florida,UAB,69.78,89.48
709,52,FL Atlantic,Florida Intl,37.09,77.11
710,42,Georgia,Kentucky,2.73,57.89
711,41,Indiana,Rutgers,62.31,92.08
712,56,Louisville,Syracuse,27.51,73.23
713,44,Miami FL,Virginia,12.94,63.33
714,17,Michigan St,Maryland,20.78,75.53
715,52,Ohio St,Illinois,4.96,107.92
716,24,Old Dominion,Rice,108.61,125.18
717,56,Penn St,Nebraska,7.69,77.64
718,45,UCF,Temple,9.1,74.57
719,20,Virginia Tech,Pittsburgh,19.41,64.3
720,30,Wake Forest,NC State,32.82,25.34
721,28,Texas,West Virginia,44.1,44.8
722,28,Mississippi St,Arkansas,26.12,83.09
723,30,Arkansas St,Texas St,77.83,126.47
724,42,Auburn,ULM,8.66,108.66
725,23,Iowa St,Baylor,33.95,104.83
726,42,Colorado St,San Jose St,77.44,125.87
727,24,Purdue,Iowa,44.51,25.89
728,41,Oklahoma,Kansas,4.97,120.93
729,47,ULL,New Mexico St,115.28,101.82
730,66,Memphis,SMU,21.31,58.7
731,52,North Texas,Army,65.82,54.96
732,39,Northwestern,Minnesota,20.83,71.37
733,45,Kansas St,Oklahoma St,45.64,19.39
734,31,Texas A&M,Mississippi,45.46,62.27
735,66,Southern Miss,Charlotte,78.7,126.26
736,30,LSU,Tennessee,21.18,89.17
737,27,TCU,Texas Tech,15,53.54
738,20,Tulane,Houston,80.4,48.13
